leadId,companyName,region,city,category,website,pagesVisited,storico,nuovo,stopCondition,reviewer,reviewed_at,false_hot,notes
cmqpbu1430001nwzfi9xy7s3a,Casa Di Cura Le Ville,Campania,Montefalcione,Casa di riposo,http://www.teoreoleville.it/,22,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqkld5rx009p108edj6t9krw,Casa Di Cura Pineta Grande,Campania,Villa Literno,Ospedale privato,https://www.pinetagrande.it/,15,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqkld5sa00ad108e4xkgdy4f,Casa Di Cura S. Maria La Bruna S.r.l.,Campania,Torre Del Greco,Casa di cura accreditata (Min. Salute),https://www.mariabruna.com/,54,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqpc51r40007d5jk81x3l73e,Casa Di Cura San Vincenzo,Campania,Villaricca,Centro di riabilitazione,https://www.vincenzo.com/,25,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqkld5s2009y108ejvgl7m92,Casa Di Cura Villa Angela S.r.l.,Campania,Comiziano,Clinica medica,http://www.villaangela.it/,26,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqp38j6q000hkuhvv00tv88j,Casa Di Riposo Rssa Santa Rita Santa Rita Srl,Campania,Alezio,Centro di riabilitazione,https://rsasantaritaalezio.it/,15,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqo5x32t001zaa3vuyvur1t4,Casa Famiglia Giovanni Paolo II,Campania,Roma,Clinica medica,https://www.casaperanzianiroma.it/,15,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqn40opv000ckwqdhc07sq1u,Casa Mia - Casa Albergo per Anziani,Campania,Napoli,Casa di cura,https://www.casalbergonapolicasamia.it/,53,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqn1xyh6000d285o9b6k1fww,Casa di Cura Dott. Prof. Luigi Cobellis S.r.l.,Campania,Vallo della Lucania,Casa di cura,http://www.clinicacobellis.it/,9,HOT,REVIEW,HOT_INCOMPLETE_CRAWL,,,,
cmqp8n8m00003ctpnxtts0z2z,Casa di Cura La Madonnina,Campania,Scala,Clinica medica,https://www.madonnina.it/,23,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqp623lx0001129ik68clq1n,Casa di Cura Nostra Signora di Lourdes,Campania,Massa di Somma,casa di cura,http://www.clinicalourdes.it/,170,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqn40opq000bkwqd0etw042r,"Casa di Cura S.Patrizia - Ostetricia e Ginecologia, Chirurgia Generale, Neurochirurgia, Ortopedia, Chirurgia Laparoscopica",Campania,Sacco,Clinica medica,https://www.casadicurasantapatrizia.it/,15,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqn356xs000jzcq93frohnbg,Casa di Cura San Michele (Pronto Soccorso Cardiologico),Campania,Vitulazio,Clinica medica,https://www.clinicasanmichele.com/,54,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqp7u71k00032lzg9156mfjd,Casa di Cura Santa Zita,Campania,Sanza,Casa di cura,http://www.casadicurasantazita.it/,138,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqots2u1007jaa3vsnquk9il,Casa di Cura Tortorella Spa,Campania,Valva,Casa di cura,https://www.casadicuratortorella.it/,56,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqmcn7zb007f9g5c7e0zwv01,Casa di Cura Villa Berica,Campania,Altavilla Silentina,Clinica medica,http://www.villaberica.it/,118,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
cmqp38j6o000gkuhv3oo2rav3,Casa di Cura Villa Bianca - Ortopedia Lecce,Campania,Lecce,Casa di riposo,http://www.villabianca.org/,193,HOT,TECHNICAL_REVALIDATION_REQUIRED,NEEDS_FULL_CRAWL_GRAPH,,,,
