id,CIG,lotto,oggetto,vincitore,identita_vincitore,piva_cf,regione,stazione_appaltante,data,importo,stato,fonte,bisogno_assicurativo_verificato,bisogno_assicurativo_inferito,cauzione,cauzione_tipo,vecchio_score,nuovo_score,tier,motivazione,contatti,reviewer,reviewed_at,winner_correct,award_status_correct,amount_correct,commercial_value_real,false_positive,false_negative,notes
cmqz6i8ep008vkpvxb5clehkx,9376604A65,,APPALTO 43/2022: LAVORI DI POTENZIAMENTO DEL DEPURATORE DI LIMENA (P669),EDIL ALTA SRL,EDIL ALTA SRL,,Veneto,ETRA SPA SOCIETA' BENEFIT,2024-02-05T00:00:00.000Z,9390789.19,MEDIUM,official,,Cauzione definitiva tipicamente richiesta in fase di stipula — importo stimato al 10% se non documentato,939079,ESTIMATE,65,54,MEDIUM,Rilevanza broker MEDIUM,phone,,,,,,,,,PRIORITY_REVIEW
cmqz6i8ki00arkpvx8abi9bk3,9814080305,,"BS 243-23MS SERVIZIO DI NOLEGGIO CASSONI CENTINATI, RITIRO, TRASPORTO E SMALTIMENTO FANGHI DA DEPURAZIONE PALABILI CHIOGGIA (VE). LOTTO 4.",SEPRO SRL,SEPRO SRL,,Veneto,VENEZIANA ENERGIA RISORSE IDRICHE TERRITORIO AMBIENTE SERVIZI SPA,2024-05-03T00:00:00.000Z,1199000,MEDIUM,official,,Cauzione definitiva tipicamente richiesta in fase di stipula — importo stimato al 10% se non documentato,119900,ESTIMATE,65,54,MEDIUM,Rilevanza broker MEDIUM,phone,,,,,,,,,PRIORITY_REVIEW
