id,struttura,sede,categoria,vecchio_verdict,nuovo_verdict,sito_precedente,sito_nuovo,identity_status,prove_identita,crawl_complete,sitemap_status,pagine_rilevanti,documento,evidenza_testuale,compagnia,numero_polizza,date,temporal_status,motivazione,score,fonti,errori,costo,reviewer,reviewed_at,entity_correct,website_correct,identity_correct,document_belongs_to_entity,verdict_correct,commercial_value_real,false_positive,false_negative,critical_contamination,notes
cmqmc3zd900689g5chgvzf53q,Madera Servizi Sanitari Diagnostici Integrati,Montesarchio (Campania),Centro diagnostico,REVIEW,REVIEW,http://maderaservizisanitari.it/,http://maderaservizisanitari.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,0,,[SHADOW_HIST_VERDICT:REVIEW] [V:REV] Sito non crawlable da server; portali ASL consultati — crawl sito necessario per HOT. Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 ,,,,,,20,http://maderaservizisanitari.it/,TypeError,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqmaf02a001k9g5crmkdun0w,Medicanova,Bellizzi (Campania),Centro di diagnostica per immagini,HOT,REVIEW,http://www.medicanova.it/,http://www.medicanova.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,65,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Assenza polizza certificata: sito corretto, Trasparenza visitata, tutti i PDF analizzati. Polizza non pubblicata — sito e Trasparenza verificati (re-audit rigoroso). ",,,,,,33,http://www.medicanova.it/,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqmd91ay008v9g5ce94y0cro,Clinica Vesuvio,Brusciano (Campania),Servizio di individuazione di medici,HOT,REVIEW,https://www.clinicavesuvio.it/,https://www.clinicavesuvio.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,39,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Assenza polizza certificata: sito corretto, Trasparenza visitata, tutti i PDF analizzati. Polizza non pubblicata — sito e Trasparenza verificati (re-audit rigoroso). ",,,,,,25,https://www.clinicavesuvio.it/,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqpc51r40007d5jk81x3l73e,Casa Di Cura San Vincenzo,Villaricca (Campania),Centro di riabilitazione,HOT,REVIEW,https://www.vincenzo.com/,https://www.vincenzo.com/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,25,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. — [FONTI: sito web (25 pagine, sezione Trasparenza letta: /, /ar",,,,,,25,https://www.vincenzo.com/,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqn2xibr000mmhc2lnqo0a18,Amica Life - Residenza Anziani a Santa Maria Capua Vetere,Santa Maria Capua Vetere (Campania),casa di cura,HOT,REVIEW,http://www.amicalife.it/residenza-anziani-santa-maria-capua-vetere,http://www.amicalife.it/residenza-anziani-santa-maria-capua-vetere,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,33,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. — [FONTI: sito web (33 pagine, sezione Trasparenza letta: /resid",,,,,,33,http://www.amicalife.it/residenza-anziani-santa-maria-capua-vetere,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqmd91b1008x9g5c65uk9quh,Casa Di Cura Meluccio S.R.L.,Pomigliano d'Arco (Campania),Ospedale,REVIEW,REVIEW,https://clinicaios.it/,https://clinicaios.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,55,,[SHADOW_HIST_VERDICT:REVIEW] [V:REV] PDF polizza su dominio diverso (cardiomedspa.it ≠ clinicaios.it) — polizza non attribuibile al sito della struttura. T (ai sensi dell’art.2 c.5 legge 8 marzo 2017 ,,,,,,33,https://clinicaios.it/,AbortError,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqohi45s005haa3vwwhe6e8v,CASA DI CURA SANTA MARIA DI LEUCA,Monteverde (Campania),Clinica medica,HOT,REVIEW,https://clinicasantamariadileuca.it/,https://clinicasantamariadileuca.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,82,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. — [FONTI: sito web (82 pagine: /, /) · fonte polizza HTML: https",,,,,,33,https://clinicasantamariadileuca.it/,AbortError,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqobynqm003taa3v0mx062fg,Nuovo Centro FKT,Lauro (Campania),Clinica di fisioterapia,HOT,REVIEW,https://nuovocentrofkt.it/,https://nuovocentrofkt.it/,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_DISCOVERED,54,,"[SHADOW_HIST_VERDICT:HOT] [V:HOT] Assenza polizza certificata: sito corretto, Trasparenza visitata, tutti i PDF analizzati. Polizza non pubblicata — sito e Trasparenza verificati (re-audit rigoroso). ",,,,,,25,https://nuovocentrofkt.it/,,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqp623mi0005129i3kgrkidz,Fisioterapia Con..te Dott.Ssa Conte Rosanna,San Valentino Torio (Campania),clinica privata,REVIEW,REVIEW,,,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_PRESENT,0,,[SHADOW_HIST_VERDICT:REVIEW] [V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/,,,,,,15,,no_url,0,,,,,,,,,,,,PRIORITY_REVIEW
cmqp9r0lc0006xk289s9h9hql,S I D Servizi Infermieristici Domiciliari Soc. Coop.Va A R.L.,Sturno (Campania),Ospedale privato,REVIEW,REVIEW,,,NOT_CHECKED,Identità sito non verificata (NOT_CHECKED) — impossibile certificare HOT/PUBLISHED.,false,NOT_PRESENT,0,,[SHADOW_HIST_VERDICT:REVIEW] [V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/,,,,,,15,,no_url,0,,,,,,,,,,,,PRIORITY_REVIEW
